title,year,budget,revenue,vote_average,vote_count,popularity,female_ratio,female_director,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Highlander: The Final Dimension,1994.0,26000000,36800000,4.5,110,7.964451,0.125,0,,,,,,,
Flipper,1996.0,25530000,20080020,5.3,84,4.475007,0.14285714285714285,0,,,,,,,
Self/less,2015.0,26000000,30523226,6.3,1091,66.097437,0.16279069767441862,0,1.0,6.5,104082.0,117,Action,Mystery,Sci-Fi
The Constant Gardener,2005.0,25000000,82466670,6.8,417,20.679652,0.2,0,,,,,,,
The Passion of the Christ,2004.0,30000000,611899420,6.9,864,38.171417,0.20833333333333334,0,,,,,,,
Mrs. Doubtfire,1993.0,25000000,441286195,7.0,1591,30.884535,0.20833333333333334,0,3.0,7.1,291920.0,125,Comedy,Drama,
Rain Man,1988.0,25000000,412800000,7.6,1709,49.510658,0.23076923076923078,0,1.0,8.0,548098.0,133,Drama,,
Gran Torino,2008.0,33000000,269958228,7.8,3086,50.7453,0.0784313725490196,0,2.0,8.1,816565.0,116,Drama,,
W.,2008.0,25100000,29506464,6.1,143,10.445391,0.2222222222222222,0,,,,,,,
Taken,2008.0,25000000,226830568,7.2,4369,80.879032,0.17142857142857143,0,3.0,7.7,636028.0,90,Action,Crime,Thriller
The Best of Me,2014.0,26000000,35926213,7.2,765,33.93914,0.17647058823529413,0,,,,,,,
The Bodyguard,1992.0,25000000,411006740,6.1,661,26.576385,0.15384615384615385,0,,,,,,,
Schindler's List,1993.0,22000000,321365567,8.3,4329,104.469351,0.13793103448275862,0,,,,,,,
The Help,2011.0,25000000,124272124,7.8,1910,42.191509,0.47058823529411764,0,,,,,,,
The Fifth Estate,2013.0,28000000,8555008,5.7,364,20.267062,0.23076923076923078,0,,,,,,,
Freddy vs. Jason,2003.0,30000000,114908830,5.8,594,26.69592,0.13953488372093023,0,3.0,5.7,127552.0,97,Action,Horror,
Jimmy Neutron: Boy Genius,2001.0,25000000,80936232,5.6,231,12.739721,0.2608695652173913,0,3.0,6.1,38143.0,82,Action,Adventure,Animation
Cloverfield,2008.0,25000000,170764026,6.4,2251,46.942396,0.15789473684210525,0,3.0,7.0,421704.0,85,Horror,Sci-Fi,Thriller
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991.0,25000000,78000000,5.8,286,15.505137,0.030303030303030304,0,3.0,6.0,61132.0,88,Action,Adventure,Comedy
The Untouchables,1987.0,25000000,76270454,7.6,1384,38.272889,0.03571428571428571,0,,,,,,,
No Country for Old Men,2007.0,25000000,171600000,7.7,3003,53.645267,0.29411764705882354,0,3.0,8.2,1064321.0,122,Crime,Drama,Thriller
Ride Along,2014.0,25000000,153997819,6.1,853,28.468,0.06666666666666667,0,0.0,6.1,123056.0,99,Action,Comedy,Crime
Bridget Jones's Diary,2001.0,25000000,281929795,6.5,1356,35.310712,0.43478260869565216,1,,,,,,,
Chocolat,2000.0,25000000,152500343,6.8,951,28.727731,0.2727272727272727,0,3.0,7.2,202330.0,121,Drama,Romance,
"Legally Blonde 2: Red, White & Blonde",2003.0,45000000,124914842,5.1,377,4.340616,0.41935483870967744,0,,,,,,,
Parental Guidance,2012.0,25000000,119772232,5.7,210,14.604911,0.3333333333333333,0,3.0,6.0,26819.0,105,Comedy,Family,
No Strings Attached,2011.0,25000000,147780440,6.1,1331,38.688822,0.3870967741935484,0,3.0,6.2,244537.0,108,Comedy,Romance,
Tombstone,1993.0,25000000,56505065,7.4,626,30.537845,0.09523809523809523,0,3.0,7.8,167119.0,130,Biography,Drama,History
Romeo Must Die,2000.0,25000000,91036760,6.0,330,19.750059,0.06666666666666667,0,0.0,6.1,73795.0,115,Action,Crime,Thriller
The Omen,1976.0,2800000,60922980,7.2,476,25.939385,0.15625,0,,,,,,,
Final Destination 3,2006.0,25000000,117719158,5.8,974,31.64341,0.3333333333333333,0,3.0,5.8,154123.0,93,Horror,Thriller,
The Lucky One,2012.0,25000000,99357138,6.8,946,26.811541,0.36363636363636365,0,,,,,,,
Bridge to Terabithia,2007.0,60000000,137587063,7.0,1113,40.646102,0.47368421052631576,0,3.0,7.2,173914.0,96,Drama,Family,Fantasy
Finding Neverland,2004.0,25000000,116766556,7.2,1223,34.160448,0.3157894736842105,0,3.0,7.7,212232.0,106,Biography,Drama,Family
The Grey,2012.0,25000000,77278331,6.4,1451,48.552871,0.125,0,,,,,,,
Hide and Seek,2005.0,25000000,122644820,6.1,440,18.228538,0.5,0,3.0,5.9,88900.0,101,Horror,Mystery,
Anchorman: The Legend of Ron Burgundy,2004.0,26000000,90574188,6.7,1493,29.342744,0.2,0,3.0,7.1,379457.0,94,Comedy,,
GoodFellas,1990.0,25000000,46836394,8.2,3128,63.654244,0.12408759124087591,0,,,,,,,
Agent Cody Banks,2003.0,28000000,58795814,5.0,284,11.859396,0.23809523809523808,0,,,,,,,
Nanny McPhee,2005.0,25000000,122489822,6.4,711,24.356483,0.5714285714285714,0,0.0,6.6,85678.0,97,Comedy,Family,Fantasy
Scarface,1983.0,25000000,65884703,8.0,2948,70.105981,0.19047619047619047,0,1.0,8.3,919562.0,170,Crime,Drama,
The Last Emperor,1987.0,23000000,43984230,7.4,355,21.189028,0.07142857142857142,0,,,,,,,
Contraband,2012.0,25000000,63100000,6.1,770,31.364901,0.06666666666666667,0,3.0,6.4,126436.0,109,Action,Adventure,Crime
There Will Be Blood,2007.0,25000000,77208711,7.9,1537,37.817905,0.16666666666666666,0,0.0,8.2,642921.0,158,Drama,,
Undercover Brother,2002.0,25000000,41604473,5.5,112,6.086083,0.18181818181818182,0,3.0,5.9,36340.0,86,Action,Comedy,
The Sisterhood of the Traveling Pants,2005.0,25000000,39053061,6.3,386,17.17372,0.6764705882352942,0,,,,,,,
Kiss of the Dragon,2001.0,25000000,64437847,6.4,298,16.936576,0.125,0,1.0,6.6,66729.0,98,Action,Crime,Thriller
The House Bunny,2008.0,25000000,70442940,5.6,529,25.838073,0.45454545454545453,0,,,,,,,
Beauty Shop,2005.0,25000000,36351350,5.4,115,5.625632,0.6428571428571429,0,3.0,5.6,18710.0,105,Comedy,,
Million Dollar Arm,2014.0,25000000,38307627,6.6,259,17.312433,0.21428571428571427,0,1.0,7.0,47901.0,124,Biography,Drama,Family
The Giver,2014.0,25000000,66980456,6.4,1798,53.811461,0.17391304347826086,0,,,,,,,
Jeepers Creepers 2,2003.0,17000000,63102666,5.5,299,19.045146,0.125,0,,,,,,,
Good Luck Chuck,2007.0,25000000,59192128,5.5,444,21.729434,0.52,0,,,,,,,
Cradle 2 the Grave,2003.0,25000000,56489558,5.8,236,12.837116,0.2222222222222222,0,1.0,5.8,46840.0,101,Action,Crime,Drama
The Hours,2002.0,25000000,41597830,7.0,451,20.953265,0.47368421052631576,0,,,,,,,
She's the Man,2006.0,20000000,33889159,6.4,671,10.81439,0.4,0,,,,,,,
Mr. Bean's Holiday,2007.0,25000000,229736344,6.1,663,27.683874,0.0,0,,,,,,,
Anacondas: The Hunt for the Blood Orchid,2004.0,20000000,70992898,4.9,199,9.855474,0.16666666666666666,0,,,,,,,
Blood Ties,2013.0,25500000,2415472,6.0,171,12.756344,0.375,0,,,,,,,
August Rush,2007.0,25000000,66122026,7.1,797,29.533437,0.3050847457627119,1,3.0,7.4,111251.0,114,Drama,Music,
Elizabeth,1998.0,30000000,82150642,7.1,334,14.179538,0.2777777777777778,0,3.0,7.4,105337.0,124,Biography,Drama,History
Bride of Chucky,1998.0,25000000,50671850,5.5,350,14.340095,0.21052631578947367,0,1.0,5.6,64467.0,89,Comedy,Horror,Thriller
Tora! Tora! Tora!,1970.0,25485000,29548291,6.9,147,9.795985,0.0,0,1.0,7.5,37328.0,144,Action,Drama,History
Spice World,1997.0,25000000,100000000,4.7,123,6.889437,0.24324324324324326,0,3.0,3.7,37909.0,93,Comedy,Family,Music
The Sitter,2011.0,25000000,34942188,5.4,325,19.428994,0.2903225806451613,0,,,,,,,
The Shawshank Redemption,1994.0,25000000,28341469,8.5,8205,136.747729,0.0,0,,,,,,,
Crocodile Dundee in Los Angeles,2001.0,21150000,39438674,4.7,146,6.081772,0.15789473684210525,0,,,,,,,
Kingpin,1996.0,27000000,25023434,6.7,244,17.329269,0.2727272727272727,0,1.0,6.9,91260.0,114,Comedy,Sport,
The Gambler,2014.0,25000000,39171130,5.7,543,22.622453,0.09090909090909091,0,,,,,,,
August: Osage County,2013.0,25000000,74188937,6.9,483,20.561682,0.3,0,3.0,7.2,95491.0,121,Comedy,Drama,
Ice Princess,2005.0,25000000,27645491,5.9,185,13.288177,0.6,0,3.0,6.0,28983.0,98,Comedy,Drama,Family
A Lot Like Love,2005.0,30000000,42886719,6.5,318,19.212552,0.6428571428571429,0,,,,,,,
Eddie the Eagle,2016.0,23000000,46152800,7.2,661,29.365851,0.1111111111111111,0,2.0,7.3,100560.0,106,Adventure,Biography,Comedy
He Got Game,1998.0,25000000,21567853,6.7,134,10.232599,0.13793103448275862,0,,,,,,,
Don Juan DeMarco,1994.0,25000000,22200000,6.2,183,8.870614,0.5384615384615384,0,,,,,,,
Dear John,2010.0,25000000,114977104,6.6,1262,19.402816,0.1111111111111111,0,0.0,6.3,158033.0,108,Drama,Romance,War
The Losers,2010.0,25000000,23580000,6.2,515,24.903418,0.125,0,,,,,,,
Don't Be Afraid of the Dark,2010.0,25000000,36993168,5.4,341,14.562197,0.3333333333333333,0,,,,,,,
War,2007.0,25000000,40452643,6.0,414,18.896239,0.23809523809523808,0,,,,,,,
Punch-Drunk Love,2002.0,25000000,17000000,6.9,530,15.960916,0.08,0,1.0,7.3,178051.0,95,Comedy,Drama,Romance
EuroTrip,2004.0,25000000,20796847,6.5,656,25.848003,0.36363636363636365,0,1.0,6.6,223463.0,92,Comedy,,
The Greatest Game Ever Played,2005.0,25000000,15431177,6.9,110,7.538513,0.16666666666666666,0,,,,,,,
The Box,2009.0,30000000,33333531,5.4,597,21.606001,0.5,0,,,,,,,
The Next Best Thing,2000.0,25000000,24362772,4.3,29,3.707511,0.45454545454545453,0,,,,,,,
My Soul to Take,2010.0,25000000,19829957,5.2,147,7.001176,0.35714285714285715,0,3.0,4.7,21648.0,107,Horror,Mystery,Thriller
The Girl Next Door,2004.0,25000000,30411183,6.3,824,39.784026,0.30434782608695654,0,,,,,,,
Maximum Risk,1996.0,25000000,51702483,5.2,101,10.115011,0.05263157894736842,0,,,,,,,
Legend,2015.0,25000000,42972994,6.7,973,32.854557,0.175,0,3.0,6.9,203139.0,132,Biography,Crime,Drama
Shark Night,2011.0,28000000,10126458,4.9,132,8.363702,0.3333333333333333,0,,,,,,,
Angela's Ashes,1999.0,25,13,7.0,59,4.88794,0.037037037037037035,0,,,,,,,
Draft Day,2014.0,25000000,28831145,6.5,304,14.17009,0.21052631578947367,0,2.0,6.8,67370.0,110,Drama,Sport,
The Conspirator,2010.0,25000000,15478800,6.2,137,9.169271,0.16666666666666666,0,,,,,,,
Lords of Dogtown,2005.0,25000000,13411957,7.0,210,8.127728,0.25,1,2.0,7.1,58345.0,107,Biography,Drama,Sport
The 33,2015.0,25000000,24902723,6.0,378,10.699952,0.15384615384615385,0,,,,,,,
Big Trouble in Little China,1986.0,25000000,11000000,7.1,705,29.796394,0.06521739130434782,0,3.0,7.2,154584.0,99,Action,Adventure,Comedy
Warrior,2011.0,25000000,23057115,7.7,1272,51.915025,0.07142857142857142,0,1.0,8.1,498971.0,140,Action,Drama,Sport
